9dc2557e-4a0f-491e-93bc-214caf120f58,"""De Do Do Do, De Da Da Da""","""The Police""",1980-11-20,false
3741ee1a-a041-4812-9bb8-e265306e6c70,"""Zenyatta Mondatta""","""The Police""",2023-10-03,true
737a24f9-3b40-42aa-8648-50e7893e8be2,"""Don't Stand So Close to Me""","""The Police""",1980-11-20,false
c39eacb6-be13-4381-bc90-9000b7137ec9,"""Driven to Tears""","""The Police""",1980-11-20,false
1a51fb83-882b-46cf-8383-b29a4d48b87a,"""When the World Is Running Down, You Make the Best of What's Still Around""","""The Police""",1980-11-20,false
f0fa325f-dc1a-4997-84ae-886c0b37db23,"""Canary in a Coalmine""","""The Police""",1980-11-20,false
2732ba8e-1f49-4d1d-8f69-c49b9cc7694d,"""Voices Inside My Head""","""The Police""",1980-11-20,false
12636f4e-1643-478c-8581-fcaaebf099a4,"""Bombs Away""","""The Police""",1980-11-20,false
cfac84fc-59b4-4a21-bf77-dd98fff3184e,"Behind My Camel""","""The Police""",1980-11-20,false
2ae4fb2c-5a10-4b2c-91b5-4eeb6c0c0943,"""Man in a Suitcase""","""The Police""",1980-11-20,false
883ea88c-487d-4ff8-bc57-dd27f4770d67,"""Shadows in the Rain""","""The Police""",1980-11-20,false
422e27d6-97b4-4989-94a7-a4941edcacf9,"""The Other Way of Stopping""","""The Police""",1980-11-20,false
